date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:24	28335/28335	---M--	200	added ('OK')	image/jpeg	etag:%22510118500a228b8165d78182bbc41fc3%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_icon_1513191167.jpg	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_icon_1513191167.jpg	(from https://www.growtopiagame.com/)
12:07:25	290693/290693	---M--	200	added ('OK')	application/javascript	etag:%226443a31003b93776aa66f6ad41c9a15b%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/js/growweb.min.js	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/js/growweb.min.js	(from https://www.growtopiagame.com/)
12:07:26	176611/176611	---M--	200	added ('OK')	image/png	etag:%22342ee1a9dd0838179f983ca635aa16e4%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/sidebar_bg.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/sidebar_bg.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/hamburger-style-min.css)
12:07:26	4178/4178	---M--	200	added ('OK')	image/gif	etag:%22c5cd7f5300576ab4c88202b42f6ded62%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/ajax-loader.gif	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/ajax-loader.gif	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/slick-min.css)
12:07:27	67142/67142	---M--	200	added ('OK')	image/png	etag:%2271c48917e79a971b861e5dc520ec3ab4%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_bg2.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_bg2.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css)
12:07:28	17815/17815	---M--	200	added ('OK')	image/png	etag:%22a9f8fb6e08309659f07457da2c6abb72%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_dirt_faq.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_dirt_faq.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css)
12:07:29	15620/15620	---M--	200	added ('OK')	image/png	etag:%225d052e76fd40b5011a2f9fdd69099e06%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_dude_sign.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_dude_sign.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css)
12:07:30	100707/100707	---M--	200	added ('OK')	image/png	etag:%22d5adb4127c0f473d596e4acb834c339c%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_bg3.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_bg3.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css)
12:07:30	402/402	---M--	200	added ('OK')	image/png	etag:%22b4decb775714b04c6527c0ca5b3c9350%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/bullet.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/bullet.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css)
12:07:31	1478/1478	---M--	200	added ('OK')	image/png	etag:%22bd99af3337a179ca80d5702e98234e91%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/gt-WebShop-Gem-Icon.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/gt-WebShop-Gem-Icon.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css)
12:07:32	3050/3050	---M--	200	added ('OK')	image/png	etag:%22bce9b8059548f44121d2bca1840158c3%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Icon.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Icon.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css)
12:07:33	583/583	---M--	200	added ('OK')	image/png	etag:%22d14b6d9376a91533e47aa0db822eae9a%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_discord.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_discord.png	(from https://www.growtopiagame.com/)
